id,Sector,Last page,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day? ,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,What is your favorite or preferred cigarette brand(s) if you were able to access it?,What cigarette brand(s) are you currently using?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Has 2019's revolution or economic crisis caused you to switch away from your favorite or preferred cigarette brand(s) to an  alternative?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current employment status? [Comment],What is your current marital status?,What is your current marital status? [Comment],Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What is your main source of income? [Comment],What type of income or financial support does your household receive?,What type of income or financial support does your household receive? [Comment],"If you receive payment in Lebanese Lira, what is your current estimated monthly household income? (If income is in US Dollars, then refer to the current black market exchange).",How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status
55,Private,5,Yes,Agree moderately,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree strongly,Yes,10 or less cigarettes/day,Yes,Yes,6 to 30 minutes,The first one in the morning,27,The number of cigarettes I smoke per day has remained the same,Winston,Winston/ davidoff,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,29,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,No,0,"Other, please specify",,"Other, please specify",,Between 12 and 16 million L.L,Medium: covers all basic needs,1,Not at all,Never,Between 3 and 4 hours,Frequently,Unemployed
79,Private,5,Yes,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,21 to 30 cigarettes,Yes,Yes,31 to 60 minutes,All others,10,The number of cigarettes I smoke per day has increased,Manitou,Ceders Blue,No,"Yes, I am currently using a cheaper alternative",Male,22,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,4,Parents,,Fully in US Dollars,,I don't know,High: completely covers necessities with a few luxury items,2,Not at all,Sometimes or a few days every month,Less than 1 hour,Frequently,Employed
80,Private,5,Yes,Agree strongly,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,"Kent silver, Marlboro",Kent,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,27,Beirut,"Post-graduate degree (PhD, MD, or other)",Student only,,Single,,Yes,4,Job,,Mixed,,I prefer not to say,High: completely covers necessities with a few luxury items,1,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Rarely,Unemployed
85,Private,5,Yes,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Disagree a little,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has decreased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,24,North Lebanon,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Medium: covers all basic needs,4,Moderately,Every day or at least 5 times every week,More than 4 hours,Occasionally,Employed
87,Private,5,Yes,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,16,The number of cigarettes I smoke per day has remained the same,camel yellow,marlboro silver blue,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,19,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Mixed,,I don't know,Medium: covers all basic needs,6,Very,Often or at least 3 days every week,Between 2 and 3 hours,Constantly,Unemployed
89,Private,5,Yes,Agree strongly,Agree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has increased,Marlboro Gold,Kent Blue,No,"Yes, I am currently using a cheaper alternative",Male,23,Mount Lebanon,Incomplete graduate degree,Student with a part-time or full-time job,,Single,,Yes,1,"Other, please specify",Crypto,Mixed,,I don't know,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
95,Private,5,Yes,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,Yes,No,After 60 minutes,All others,16,The number of cigarettes I smoke per day has increased,Malboro Touch,Sometimes malboro sometimes ceedars,No,"Yes, I am currently using a cheaper alternative",Female,21,Keserwan - Jbeil,Graduate degree (MA/MS),Student with a part-time or full-time job,,"Other, please specify",In a relationship,Yes,2,Job,,Fully in Lebanese Lira,,Between 4 and 8 million L.L,Very low income: does not cover basic needs for a month,5,Moderately,Never,Between 2 and 3 hours,Frequently,Employed
96,Private,5,Yes,Disagree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Disagree moderately,Yes,31 cigarettes/day or more,Yes,Yes,Within 5 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,Dunhill switch.,Ciders silver. Kent Silver. Depends on what I can afford.,No,"Yes, I am currently using a cheaper alternative",Female,22,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,"Other, please specify",Scholarship,"Other, please specify",My family lives in libya. Receives money in Libyan dinars.,Between 8 and 12 million L.L,Medium: covers all basic needs,0,Moderately,Never,More than 4 hours,Constantly,Unemployed
104,Private,5,Yes,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,19,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,2,Parents,,Mixed,,I don't know,Medium: covers all basic needs,0,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Frequently,Unemployed
112,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,All others,16,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,4,Investment,,Fully in US Dollars,,More than 20 million L.L,Extremely high: covers a wide range of luxury items,7,Not at all,Sometimes or a few days every month,Between 3 and 4 hours,Occasionally,Unemployed
113,Private,5,Yes,Agree strongly,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,17,The number of cigarettes I smoke per day has decreased,Heets-marlboro,Heets,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,18,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,5,Parents,,Mixed,,Between 1 and 4 million L.L,High: completely covers necessities with a few luxury items,4,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
115,Private,5,Yes,Disagree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Yes,10 or less cigarettes/day,No,No,After 60 minutes,All others,22,The number of cigarettes I smoke per day has remained the same,Marlboro gitane,Gitane,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,I don't know,Low: barely covers basic needs for a month,4,Very,Never,Between 2 and 3 hours,Frequently,Unemployed
120,Private,5,Yes,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Disagree moderately,Disagree a little,Yes,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,19,The number of cigarettes I smoke per day has increased,Marlboro double fusion 4,cedars super slim silver,Yes,"Yes, I am currently using a cheaper alternative",Female,21,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,Between 16 and 20 million L.L,Medium: covers all basic needs,3,Moderately,Sometimes or a few days every month,More than 4 hours,Frequently,Unemployed
121,Private,5,Yes,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,marlboro gold,marlboro gold,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,18,Beirut,High school degree or equivalent (e.g. GED),Student only,,Single,,Yes,5,Investment,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Rarely,Unemployed
122,Private,5,Yes,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,No,10 or less cigarettes/day,No,No,31 to 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has decreased,iqos purple wave heets,iqos purple wave heets,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,I don't know,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
124,Private,5,Yes,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,27,The number of cigarettes I smoke per day has increased,Davidoff,Davidoff,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,27,Beqaa,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,5,Job,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Medium: covers all basic needs,2,Extremely,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed
133,Private,5,Yes,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,Malborow,Malborow,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,18,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,I prefer not to say,Medium: covers all basic needs,6,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
140,Private,5,Yes,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,Yes,10 or less cigarettes/day,No,No,After 60 minutes,All others,15,The number of cigarettes I smoke per day has decreased,cohiba,cohiba,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,26,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,2,Job,,Mixed,,I prefer not to say,Medium: covers all basic needs,4,Not at all,Every day or at least 5 times every week,I don't use any social media platforms,Occasionally,Employed
145,Private,5,Yes,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,23,The number of cigarettes I smoke per day has remained the same,malboro blue,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,24,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,0,Parents,,Mixed,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,2,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Employed
154,Private,5,Yes,Disagree a little,Agree moderately,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree strongly,Yes,10 or less cigarettes/day,Yes,Yes,6 to 30 minutes,The first one in the morning,14,The number of cigarettes I smoke per day has remained the same,lucky strike,stanley,No,"Yes, I am currently using a cheaper alternative",Female,20,Beirut,Incomplete bachelor's degree,Student with a part-time or full-time job,,Single,,Yes,5,Job,,Mixed,,I don't know,Medium: covers all basic needs,4,Very,Sometimes or a few days every month,Between 3 and 4 hours,Constantly,Employed
155,Private,5,Yes,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,No,Yes,31 to 60 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has increased,"Camel, Golden Virginia",Golden Virginia,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,2,"Other, please specify",Scholarshsip,Fully in US Dollars,,Between 8 and 12 million L.L,Medium: covers all basic needs,1,Moderately,Never,Between 1 hour and 2 hours,Frequently,Unemployed
161,Private,5,Yes,Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,21,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,No,"Yes, I am currently using a cheaper alternative",Male,22,Beirut,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,5,Parents,,Fully in Lebanese Lira,,More than 20 million L.L,Medium: covers all basic needs,4,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed
167,Private,5,Yes,Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,19,The number of cigarettes I smoke per day has remained the same,Heets,Heets,Yes,"Yes, I am currently using a cheaper alternative",Male,22,Beirut,Graduate degree (MA/MS),Student only,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Medium: covers all basic needs,3,Very,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
173,Private,5,Yes,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,25,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,28,Mount Lebanon,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,1,Job,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,4,Very,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed
181,Private,5,Yes,Agree a little,Agree moderately,Agree strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,17,The number of cigarettes I smoke per day has increased,marlboro gold,marlboro craft,Yes,"Yes, I am currently using a cheaper alternative",Male,18,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Mixed,,I don't know,High: completely covers necessities with a few luxury items,4,Moderately,Sometimes or a few days every month,More than 4 hours,Frequently,Unemployed
184,Private,5,Yes,Agree a little,Agree a little,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Disagree a little,Agree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has decreased,Marlboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Female,28,Mount Lebanon,"Post-graduate degree (PhD, MD, or other)",Student with a part-time or full-time job,,Single,,Yes,2,Job,,Mixed,,Between 8 and 12 million L.L,Medium: covers all basic needs,5,Very,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed
185,Private,5,Yes,Disagree a little,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Neither agree nor disagree,Disagree moderately,No,10 or less cigarettes/day,No,No,6 to 30 minutes,All others,15,The number of cigarettes I smoke per day has increased,Marlboro red,Marlboro red,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,18,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,Yes,5,Parents,,Mixed,,I don't know,High: completely covers necessities with a few luxury items,8,Moderately,Never,Between 1 hour and 2 hours,Frequently,Unemployed
200,Private,5,Yes,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,16,The number of cigarettes I smoke per day has increased,Allor,Ccedars,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,23,Mount Lebanon,Incomplete graduate degree,Student only,,Engaged,,Yes,2,"Other, please specify",Stipend from a graduate degree scholarship,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,3,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Constantly,Unemployed
201,Private,5,Yes,Agree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,No,11 to 20 cigarettes,Yes,No,After 60 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has decreased,Marlboro Gold,Cedars,No,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Incomplete bachelor's degree,Student only,,Single,In a relationship,Yes,2,Parents,,Mixed,,I don't know,Medium: covers all basic needs,6,Moderately,Sometimes or a few days every month,Less than 1 hour,Occasionally,Unemployed
